Date,Type,Description,City
2017-06-19,assault,,Shreveport
2017-06-21,robbery,,Orange
2017-06-21,fraud,,Boulder
2017-06-23,assault,,Portsmouth
2017-06-24,smuggling,,Lexington
2017-06-24,fraud,,Houston
2017-06-25,fraud,,Des Moines
2017-06-25,fraud,,Washington
2017-06-26,arson,,Sioux Falls
2017-06-28,smuggling,,Port Orange
2017-06-29,theft,,Daly City
2017-07-04,murder,,Hampton
2017-07-04,theft,,Davidson County
2017-07-06,murder,,Independence
2017-07-08,robbery,,St. Petersburg
2017-07-08,smuggling,,Newark
2017-07-13,assault,,Saint Louis
2017-07-15,bribery,,Evansville
2017-07-15,smuggling,,Louisville
2017-07-20,blackmail,,Jacksonville
2017-07-21,fraud,,Boulder
2017-07-23,blackmail,,Duluth
2017-07-23,blackmail,,Clearwater
2017-07-26,arson,,Portsmouth
2017-07-28,arson,,Saint Paul
2017-07-28,arson,,Eugene
2017-08-05,assault,,New London
2017-08-06,assault,,Gainesville
2017-08-06,bribery,,Toledo
2017-08-09,arson,,Monterey
2017-08-09,robbery,,Santa Rosa
2017-08-20,murder,,Charleston
2017-08-20,blackmail,,Lewisville
2017-08-22,theft,,Escondido
2017-08-23,arson,,North Las Vegas
2017-08-24,smuggling,,Temecula
2017-08-24,bribery,,Gainesville
2017-08-26,assault,,Newark
2017-08-26,arson,,Sarasota
2017-08-26,theft,,Thornton
2017-08-30,smuggling,,Hampton
2017-08-30,blackmail,,Hayward
2017-09-03,fraud,,Long Beach
2017-09-06,theft,,Canton
2017-09-06,murder,,Dallas
2017-09-07,murder,,Honolulu
2017-09-08,murder,,Lacey
2017-09-08,fraud,,Fullerton
2017-09-09,murder,,Corona
2017-09-09,murder,,Grayslake
2017-09-15,assault,,Kissimmee
2017-09-16,theft,,Houma
2017-09-16,bribery,,Visalia
2017-09-17,murder,,McHenry
2017-09-17,blackmail,,Port Arthur
2017-09-17,theft,,Melbourne
2017-09-19,theft,,Amarillo
2017-09-19,bribery,,Rockford
2017-09-20,theft,,Trenton
2017-09-21,murder,,South Bend
2017-09-22,assault,,Hagerstown
2017-09-26,bribery,,Davenport
2017-09-27,blackmail,,Fresno
2017-09-28,blackmail,,Canton
2017-09-30,blackmail,,Garland
2017-10-02,murder,,Glendale
2017-10-07,blackmail,,Fort Smith
2017-10-13,arson,,Antioch
2017-10-16,murder,,Odessa
2017-10-17,bribery,,Kalamazoo
2017-10-19,theft,,Aurora
2017-10-20,bribery,,Waterbury
2017-10-20,theft,,Harrisburg
2017-10-21,bribery,,Huntington
2017-10-23,fraud,,Santa Cruz
2017-10-25,assault,,Providence
2017-10-28,arson,,Yakima
2017-10-29,murder,,Washington
2017-11-03,murder,,Vero Beach
2017-11-04,fraud,,Fort Collins
2017-11-05,bribery,,New London
2017-11-07,murder,,Concord
2017-11-11,bribery,,Hialeah
2017-11-13,assault,,Oxnard
2017-11-13,bribery,,Long Beach
2017-11-19,assault,,Little Rock
2017-11-22,fraud,,Kalamazoo
2017-11-23,smuggling,,Appleton
2017-11-24,assault,,Sioux Falls
2017-11-25,smuggling,,Monroe
2017-11-26,murder,,Port Orange
2017-11-26,arson,,Hollywood
2017-11-30,fraud,,Saint Petersburg
2017-12-02,robbery,,Salinas
2017-12-04,bribery,,Carrollton
2017-12-11,robbery,,Gulfport-Biloxi
2017-12-11,robbery,,Athens
2017-12-13,theft,,Pueblo
2017-12-17,robbery,,Boston
2017-12-19,arson,,Newport News
2017-12-22,assault,,Coral Springs
2017-12-23,assault,,Roanoke
2017-12-24,murder,,Akron
2017-12-27,robbery,,Raleigh
2017-12-29,fraud,,Antioch
2017-12-31,blackmail,,Pomona
2018-01-01,blackmail,,Frederick
2018-01-04,smuggling,,Cathedral City
2018-01-06,bribery,,Utica
2018-01-08,assault,,Saint Petersburg
2018-01-08,murder,,New Bedford
2018-01-10,bribery,,Barnstable
2018-01-14,bribery,,Lancaster
2018-01-14,theft,,Kansas City
2018-01-14,robbery,,Philadelphia
2018-01-17,smuggling,,Knoxville
2018-01-21,smuggling,,Concord
2018-01-23,fraud,,Shreveport
2018-01-24,smuggling,,Murfreesboro
2018-01-25,robbery,,Lubbock
2018-01-26,assault,,Pasadena
2018-01-27,bribery,,Marina
2018-01-27,murder,,Bel Air
2018-01-31,robbery,,Coral Springs
2018-02-01,bribery,,Baton Rouge
2018-02-02,theft,,Waco
2018-02-02,theft,,Lewisville
2018-02-03,murder,,Normal
2018-02-04,blackmail,,South Bend
2018-02-06,assault,,Columbia
2018-02-09,murder,,Boise
2018-02-10,theft,,Visalia
2018-02-11,theft,,Hesperia
2018-02-12,arson,,Lorain
2018-02-13,smuggling,,Indianapolis
2018-02-14,murder,,Gilbert
2018-02-14,murder,,Scottsdale
2018-02-15,smuggling,,Fort Wayne
2018-02-16,bribery,,Laredo
2018-02-20,arson,,Fairfield
2018-02-24,smuggling,,North Las Vegas
2018-02-25,assault,,Rancho Cucamonga
2018-02-25,murder,,Pompano Beach
2018-02-27,smuggling,,Kissimmee
2018-02-28,assault,,Frederick
2018-03-02,arson,,Modesto
2018-03-03,theft,,Ocala
2018-03-04,blackmail,,Fort Worth
2018-03-05,robbery,,Charlotte
2018-03-11,bribery,,Dallas
2018-03-11,arson,,Garden Grove
2018-03-11,murder,,Winter Haven
2018-03-13,blackmail,,Medford
2018-03-16,murder,,Naples
2018-03-16,murder,,Tampa
2018-03-17,fraud,,Frederick
2018-03-18,murder,,Austin
2018-03-19,blackmail,,Buffalo
2018-03-24,blackmail,,Harrisburg
2018-03-24,smuggling,,Jacksonville
2018-03-25,blackmail,,Carrollton
2018-03-27,robbery,,Providence
2018-03-29,theft,,Syracuse
2018-03-30,theft,,Detroit
2018-03-30,theft,,York
2018-03-31,blackmail,,Garland
2018-04-01,fraud,,Grayslake
2018-04-02,robbery,,Naperville
2018-04-07,fraud,,Hollywood
2018-04-13,murder,,New Orleans
2018-04-15,murder,,Kansas City
2018-04-17,bribery,,San Diego
2018-04-18,assault,,Hialeah
2018-04-19,arson,,Fort Collins
2018-04-21,fraud,,Odessa
2018-04-21,blackmail,,Hemet
2018-04-22,arson,,Naperville
2018-04-24,arson,,New York
2018-04-25,blackmail,,Chula Vista
2018-04-27,arson,,Leominster
2018-04-30,bribery,,Garden Grove
2018-04-30,assault,,Fontana
2017-01-01,smuggling,"‘Now tell me, Pat, what’s that in the window?’",Gilbert
2017-01-02,smuggling,"‘Yes,’ said Alice, ‘we learned French and music.’",Alexandria
2017-01-16,smuggling,"living would be like, but it puzzled her too much, so she went on: ‘But",Las Cruces
2017-01-19,smuggling,and sadly:--,Riverside
2017-02-02,smuggling,"She was a good deal frightened by this very sudden change, but she felt",Mesa
2017-02-02,smuggling,"(she was obliged to say ‘creatures,’ you see, because some of them were",Montgomery
2017-02-05,smuggling,would change to dull reality--the grass would be only rustling in the,Reno
2017-02-08,smuggling,"pocket, and was looking at it uneasily, shaking it every now and then,",Toledo
2017-02-09,smuggling,‘--as far out to sea as you can--’,Canton
2017-02-09,smuggling,yourself.’,College Station
2017-02-27,smuggling,"‘If I’d been the whiting,’ said Alice, whose thoughts were still running",Fairfield
2017-03-04,smuggling,"jumping merrily along hand in hand, in couples: they were all ornamented",New London
2017-03-17,smuggling,"   ‘You are old,’ said the youth, ‘one would hardly suppose",North Port
2017-03-26,smuggling,"she thought, and looked into its eyes again, to see if there were any",Durham
2017-04-10,smuggling,"‘It isn’t directed at all,’ said the White Rabbit; ‘in fact, there’s",Rockford
2017-04-16,smuggling,"So she set to work, and very soon finished off the cake.",Westminster
2017-04-19,smuggling,"sister, as well as she could remember them, all these strange Adventures",New Haven
2017-04-21,smuggling,"players, except the King, the Queen, and Alice, were in custody and",Sterling Heights
2017-04-26,smuggling,"‘I don’t know of any that do,’ Alice said very politely, feeling quite",Redding
2017-04-28,smuggling,"‘My name is Alice, so please your Majesty,’ said Alice very politely;",Elkhart
2017-05-01,smuggling,"along the course, here and there. There was no ‘One, two, three, and",Clarke County
2017-05-11,smuggling,"other, and growing sometimes taller and sometimes shorter, until she had",Winston
2017-05-12,smuggling,"‘You should learn not to make personal remarks,’ Alice said with some",Layton
2017-05-18,smuggling,"or Longitude I’ve got to?’ (Alice had no idea what Latitude was, or",Waco
2017-05-18,smuggling,‘I didn’t!’ the March Hare interrupted in a great hurry.,Richmond County
2017-05-28,smuggling,"answer, so Alice went on eagerly: ‘There is such a nice little dog near",Chesapeake
2017-05-29,smuggling,"‘Yes, but some crumbs must have got in as well,’ the Hatter grumbled:",Scranton
2017-06-07,smuggling,the pool as it went.,St. Paul
2017-06-10,smuggling,"hand again, and made another snatch in the air. This time there were",Paterson
2017-06-17,smuggling,tone; ‘at least there’s no room to grow up any more HERE.’,Escondido
2017-06-18,smuggling,denying it. I suppose you’ll be telling me next that you never tasted an,Gainesville
2017-06-27,smuggling,"‘And yet what a dear little puppy it was!’ said Alice, as she leant",Norman
2017-06-29,smuggling,look through into the garden with one eye; but to get through was more,Atlantic City
2017-06-29,smuggling,"‘Suppose we change the subject,’ the March Hare interrupted, yawning.",Omaha
2017-06-30,smuggling,away. ‘You insult me by talking such nonsense!’,Abilene
2017-07-06,smuggling,a mouse--to a mouse--a mouse--O mouse!’) The Mouse looked at her rather,Duluth
2017-07-31,smuggling,"gave herself very good advice, (though she very seldom followed it),",Birmingham
2017-08-01,smuggling,‘You did!’ said the Hatter.,Bonita Springs
2017-08-14,smuggling,"large she had grown in the last few minutes, and she jumped up in such",New Bedford
2017-08-21,smuggling,"to be done, I wonder?’ As she said this, she came suddenly upon an open",Olathe
2017-08-27,smuggling,"begun asking riddles.--I believe I can guess that,’ she added aloud.",Columbus
2017-09-06,smuggling,bore it as well as she could.,Yakima
2017-09-08,smuggling,"‘Oh, don’t bother ME,’ said the Duchess; ‘I never could abide figures!’",Duluth
2017-09-11,smuggling,in the last few minutes that she wasn’t a bit afraid of interrupting,Sioux City
2017-09-14,smuggling,"so closely against her foot, that there was hardly room to open her",St. Louis
2017-09-18,smuggling,be growing small again.’ She got up and went to the table to measure,Winston
2017-09-22,smuggling,"At this moment the King, who had been for some time busily writing in",Hollywood
2017-09-26,smuggling,"feebly stretching out one paw, trying to touch her. ‘Poor little thing!’",Jackson
2017-09-27,smuggling,"London is the capital of Paris, and Paris is the capital of Rome, and",Clearwater
2017-10-04,smuggling,she was up to her chin in salt water. Her first idea was that she,Lakewood
2017-10-04,smuggling,"This sounded promising, certainly: Alice turned and came back again.",Norman
2017-10-10,smuggling,"She was a good deal frightened by this very sudden change, but she felt",Jersey City
2017-10-10,smuggling,"Luckily for Alice, the little magic bottle had now had its full effect,",Cedar Rapids
2017-10-23,smuggling,"candle is like after the candle is blown out, for she could not remember",Murfreesboro
2017-10-24,smuggling,"‘It was the BEST butter,’ the March Hare meekly replied.",Orem
2017-11-01,smuggling,conversations?’,Yonkers
2017-11-02,smuggling,Alice was rather doubtful whether she ought not to lie down on her face,Chesapeake
2017-11-05,smuggling,begged the Mouse to tell them something more.,Fort Collins
2017-11-08,smuggling,savage when they met in the kitchen.,Corpus Christi
2017-11-10,smuggling,"funny watch!’ she remarked. ‘It tells the day of the month, and doesn’t",Virginia Beach
2017-11-10,smuggling,"This was not an encouraging opening for a conversation. Alice replied,",Olathe
2017-11-20,smuggling,"answer. ‘They’re done with blacking, I believe.’",Sacramento
2017-11-30,smuggling,"bank, and of having nothing to do: once or twice she had peeped into the",Lewisville
2017-12-05,smuggling,"‘I never saw one, or heard of one,’ said Alice.",Irving
2017-12-08,smuggling,"   ‘You are old,’ said the youth, ‘as I mentioned before,",Vero Beach
2017-12-13,smuggling,"the royal children, and everybody else.",Orlando
2017-12-22,smuggling,"mushroom, and her eyes immediately met those of a large caterpillar,",Las Vegas
2017-12-24,smuggling,Fainting in Coils.’,Pompano Beach
2018-01-04,smuggling,"age knew the meaning of it at all. However, ‘jury-men’ would have done",Reno
2018-01-08,smuggling,"Then they both bowed low, and their curls got entangled together.",St. Louis
2018-01-25,smuggling,This did not seem to encourage the witness at all: he kept shifting,Palm Springs
2018-01-26,smuggling,about the whiting!’,Fresno
2018-01-29,smuggling,"‘Begin at the beginning,’ the King said gravely, ‘and go on till you",Hartford
2018-01-30,smuggling,"tell me, please, which way I ought to go from here?’",Bridgeport
2018-02-01,smuggling,"The King laid his hand upon her arm, and timidly said ‘Consider, my",Seattle
2018-02-16,smuggling,wondering very much what would happen next.,Erie
2018-02-18,smuggling,"hastily, for the White Rabbit cried out, ‘Silence in the court!’ and the",Detroit
2018-02-28,smuggling,"sight, they were getting so far off). ‘Oh, my poor little feet, I wonder",Cincinnati
2018-03-05,smuggling,says it kills all the rats and--oh dear!’ cried Alice in a sorrowful,Utica
2018-03-10,smuggling,YOU must cross-examine the next witness. It quite makes my forehead,Knoxville
2018-03-12,smuggling,"‘Very,’ said Alice: ‘--where’s the Duchess?’",Erie
2018-03-20,smuggling,"‘Stand up and repeat “‘TIS THE VOICE OF THE SLUGGARD,”’ said the",Portland
2018-03-23,smuggling,"hands on her lap as if she were saying lessons, and began to repeat it,",Rancho Cucamonga
2018-03-24,smuggling,"jumping merrily along hand in hand, in couples: they were all ornamented",Dayton
2018-03-29,smuggling,"   ‘They told me you had been to her,",Lancaster
2018-03-29,smuggling,"‘Give your evidence,’ said the King; ‘and don’t be nervous, or I’ll have",Bryan
2018-03-31,smuggling,MORE than nothing.’,Bradenton
2018-04-08,smuggling,There was a general clapping of hands at this: it was the first really,Daytona Beach
2018-04-17,smuggling,‘I’m getting tired of this. I vote the young lady tells us a story.’,Columbia
2018-04-26,smuggling,"straightening itself out again, so that altogether, for the first minute",Trenton
2017-01-04,blackmail,see what was the matter with it. There could be no doubt that it had,Lacey
2017-01-06,blackmail,rather sharply; ‘I advise you to leave off this minute!’ She generally,Lewisville
2017-01-06,blackmail,CHAPTER X. The Lobster Quadrille,Jackson
2017-01-07,blackmail,"This answer so confused poor Alice, that she let the Dormouse go on for",Newark
2017-01-10,blackmail,"Alice was not much surprised at this, she was getting so used to queer",Kailua
2017-01-13,blackmail,"‘There’s no sort of use in knocking,’ said the Footman, ‘and that for",Fort Collins
2017-01-16,blackmail,"Fish-Footman was gone, and the other was sitting on the ground near the",Tallahassee
2017-01-27,blackmail,"thousand miles down, I think--’ (for, you see, Alice had learnt several",Richland
2017-01-29,blackmail,"‘Call the first witness,’ said the King; and the White Rabbit blew three",Paterson
2017-02-19,blackmail,"‘I didn’t know it was YOUR table,’ said Alice; ‘it’s laid for a great",Lubbock
2017-02-21,blackmail,"was,’ he said.",Panama City
2017-02-26,blackmail,yourself.’,Bridgeport
2017-03-02,blackmail,"When she got back to the Cheshire Cat, she was surprised to find quite a",Kenosha
2017-03-10,blackmail,"‘It isn’t,’ said the Caterpillar.",Palmdale
2017-03-13,blackmail,They were indeed a queer-looking party that assembled on the bank--the,Kenosha
2017-03-15,blackmail,"get into the garden, and I don’t care which happens!’",Hampton
2017-03-17,blackmail,"she was out of sight: then it chuckled. ‘What fun!’ said the Gryphon,",Elizabeth
2017-03-18,blackmail,"‘Have you guessed the riddle yet?’ the Hatter said, turning to Alice",Eugene
2017-03-22,blackmail,‘A likely story indeed!’ said the Pigeon in a tone of the deepest,Huntington
2017-03-29,blackmail,began shrinking directly. As soon as she was small enough to get through,Oakland
2017-04-05,blackmail,"again, it was very provoking to find that the hedgehog had unrolled",Bakersfield
2017-04-09,blackmail,CHAPTER IX. The Mock Turtle’s Story,Inglewood
2017-04-11,blackmail,"can’t think! And oh, I wish you could see her after the birds! Why,",Arlington
2017-04-15,blackmail,"       house,",Kissimmee
2017-05-04,blackmail,"She drew her foot as far down the chimney as she could, and waited",Kaneohe
2017-05-09,blackmail,"‘I want a clean cup,’ interrupted the Hatter: ‘let’s all move one place",Norwich
2017-05-11,blackmail,"head first, and then sat upon it.)",Anchorage
2017-05-13,blackmail,"was a table, with a large dish of tarts upon it: they looked so good,",St. Petersburg
2017-05-20,blackmail,that “I see what I eat” is the same thing as “I eat what I see”!’,Houston
2017-05-24,blackmail,    What made you so awfully clever?’,Palm Bay
2017-06-02,blackmail,        “I’ll be,Panama City
2017-06-15,blackmail,"way of speaking to a mouse: she had never done such a thing before, but",Santa Ana
2017-06-18,blackmail,"tone. ‘Nobody seems to like her, down here, and I’m sure she’s the best",Corpus Christi
2017-06-22,blackmail,"the Duchess said after a pause: ‘the reason is, that I’m doubtful about",Marysville
2017-06-22,blackmail,"‘Call it what you like,’ said the Cat. ‘Do you play croquet with the",Detroit
2017-07-02,blackmail,which word sounded best.,Daly City
2017-07-05,blackmail,"hedgehog to, and, as the doubled-up soldiers were always getting up",Evansville
2017-07-09,blackmail,she hastily dried her eyes to see what was coming. It was the White,Providence
2017-07-13,blackmail,"moved into the Dormouse’s place, and Alice rather unwillingly took",Bakersfield
2017-07-13,blackmail,and skurried away into the darkness as hard as he could go.,Newark
2017-07-24,blackmail,ache!’,Savannah
2017-07-24,blackmail,said the Gryphon: and it set to work shaking him and punching him in,Mobile
2017-08-02,blackmail,"to some tea and bread-and-butter, and then turned to the Dormouse, and",Cincinnati
2017-08-13,blackmail,"railway,’ she said to herself. (Alice had been to the seaside once in",Little Rock
2017-08-19,blackmail,"sitting sad and lonely on a little ledge of rock, and, as they came",Eugene
2017-09-01,blackmail,"‘If you didn’t sign it,’ said the King, ‘that only makes the matter",Dallas
2017-09-10,blackmail,the best thing to get us dry would be a Caucus-race.’,Scottsdale
2017-09-13,blackmail,"around it--once more the shriek of the Gryphon, the squeaking of the",McHenry
2017-09-15,blackmail,‘Speak English!’ said the Eaglet. ‘I don’t know the meaning of half,Detroit
2017-09-15,blackmail,    ‘And your hair has become very white;,Henderson
2017-09-18,blackmail,"‘Pray don’t trouble yourself to say it any longer than that,’ said",Toledo
2017-09-21,blackmail,   Do you think I can listen all day to such stuff?,Tallahassee
2017-09-21,blackmail,more if you’d rather not.’,Minneapolis
2017-09-21,blackmail,"such a capital one for catching mice--oh, I beg your pardon!’ cried",Phoenix
2017-10-02,blackmail,like them raw.’,Lacey
2017-10-17,blackmail,"drunk half the bottle, she found her head pressing against the ceiling,",Cedar Rapids
2017-10-18,blackmail,"not got into it), and handed them round as prizes. There was exactly one",Chattanooga
2017-10-22,blackmail,"On which Seven looked up and said, ‘That’s right, Five! Always lay the",Bradenton
2017-11-07,blackmail,birds hurried off at once: one old Magpie began wrapping itself up very,Berkeley
2017-11-07,blackmail,"‘Thank you,’ said Alice, ‘it’s very interesting. I never knew so much",Clearwater
2017-11-08,blackmail,"‘Give your evidence,’ said the King.",Rockford
2017-11-09,blackmail,"‘I couldn’t help it,’ said Five, in a sulky tone; ‘Seven jogged my",Waterbury
2017-11-11,blackmail,to make out which were the two sides of it; and as it was perfectly,Little Rock
2017-11-19,blackmail,"uncomfortable for the Dormouse,’ thought Alice; ‘only, as it’s asleep, I",Harrisburg
2017-11-19,blackmail,"   ‘They told me you had been to her,",San Antonio
2017-11-23,blackmail,"‘Get to your places!’ shouted the Queen in a voice of thunder, and",Ocala
2017-11-27,blackmail,"worse. You MUST have meant some mischief, or else you’d have signed your",Miramar
2017-12-06,blackmail,"   ‘They told me you had been to her,",Aurora
2017-12-19,blackmail,"well without--Maybe it’s always pepper that makes people hot-tempered,’",Harlingen
2017-12-20,blackmail,"‘Why, what are YOUR shoes done with?’ said the Gryphon. ‘I mean, what",Palm Springs
2017-12-31,blackmail,"‘You are,’ said the King.",Yonkers
2018-01-04,blackmail,"It was, no doubt: only Alice did not like to be told so. ‘It’s really",Lakeland
2018-01-05,blackmail,"to be, from one minute to another! However, I’ve got back to my right",Canton
2018-01-06,blackmail,"fond of beheading people here; the great wonder is, that there’s any one",Orlando
2018-01-08,blackmail,"‘Of course not,’ said the Mock Turtle: ‘why, if a fish came to ME, and",Evansville
2018-01-10,blackmail,know.’,Corpus Christi
2018-01-11,blackmail,"in the direction it pointed to, without trying to explain the mistake it",San Francisco
2018-01-29,blackmail,"‘Not yet, not yet!’ the Rabbit hastily interrupted. ‘There’s a great",Clarksville
2018-02-02,blackmail,same as they used to do:--,Huntington
2018-02-13,blackmail,"a doze; but, on being pinched by the Hatter, it woke up again with",Fresno
2018-02-18,blackmail,    *    *    *    *    *    *,Temecula
2018-02-22,blackmail,birds hurried off at once: one old Magpie began wrapping itself up very,Albuquerque
2018-02-25,blackmail,"tone. ‘Nobody seems to like her, down here, and I’m sure she’s the best",Norwalk
2018-03-05,blackmail,"that used to come once a week: HE taught us Drawling, Stretching, and",Spartanburg
2018-03-13,blackmail,"An enormous puppy was looking down at her with large round eyes, and",Greensboro
2018-03-19,blackmail,"‘You might just as well say,’ added the Dormouse, who seemed to be",Reading
2018-03-19,blackmail,"croquet with the Queen,’ and she hurried out of the room. The cook threw",Manchester
2018-03-20,blackmail,"Alice started to her feet, for it flashed across her mind that she had",Long Beach
2018-04-07,blackmail,wood for fear of their hearing her; and when she next peeped out the,Fargo
2018-04-10,blackmail,"‘That depends a good deal on where you want to get to,’ said the Cat.",Round Lake Beach
2018-04-14,blackmail,"little way forwards each time and a long way back, and barking hoarsely",Clarke County
2018-04-14,blackmail,"        judge, I’ll",Mesquite
2018-04-20,blackmail,"being drowned in my own tears! That WILL be a queer thing, to be sure!",Lansing
2018-04-22,blackmail,"about the reason and all that,’ he said to the Gryphon.",Madison
2018-04-27,blackmail,deep and reaching half down the hall.,Laredo
2018-04-28,blackmail,other side of the court.,Lorain
2018-01-03,bribery,"Apparently, Cayde thought it necessary to expose this extremely
            rare vegetable to a Hive summoning ritual.",Pandas City
2017-01-02,bribery,"glass table. ‘Now, I’ll manage better this time,’ she said to herself,",Riverside
2017-01-07,bribery,"The hedgehog was engaged in a fight with another hedgehog, which seemed",Lorain
2017-01-09,bribery,           condemn,Visalia
2017-01-11,bribery, (In which the cook and the baby joined):--,Lancaster
2017-01-17,bribery,"you liked with the clock. For instance, suppose it were nine o’clock in",San Bernardino
2017-01-29,bribery,"‘I’m sure I’m not Ada,’ she said, ‘for her hair goes in such long",Daytona Beach
2017-01-31,bribery,every line:,Fort Collins
2017-02-12,bribery,"‘I couldn’t help it,’ said Five, in a sulky tone; ‘Seven jogged my",Las Cruces
2017-02-14,bribery,"‘tis love, that makes the world go round!”’",Lakeland
2017-02-15,bribery,"the executioner, the King, and the Queen, who were all talking at once,",Naples
2017-03-02,bribery,The Mock Turtle went on.,Salem
2017-03-03,bribery,"        judge, I’ll",Naples
2017-03-11,bribery,chimneys were shaped like ears and the roof was thatched with fur. It,Santa Cruz
2017-03-20,bribery,"that used to come once a week: HE taught us Drawling, Stretching, and",Palmdale
2017-03-27,bribery,"‘So you did, old fellow!’ said the others.",Milwaukee
2017-04-09,bribery,"before,’ said Alice,) and round the neck of the bottle was a paper",Chula Vista
2017-04-13,bribery,"‘No, indeed,’ said Alice. ‘What sort of a dance is it?’",Roanoke
2017-04-13,bribery,"just as the Dormouse crossed the court, she said to one of the officers",Daly City
2017-04-15,bribery,"sight, they were getting so far off). ‘Oh, my poor little feet, I wonder",Tyler
2017-04-20,bribery,     Beau--ootiful Soo--oop!,Colorado Springs
2017-04-21,bribery,all talking together: she made out the words: ‘Where’s the other,Murfreesboro
2017-04-25,bribery,"‘How queer it seems,’ Alice said to herself, ‘to be going messages for",Cary
2017-04-26,bribery,"‘Go on with the next verse,’ the Gryphon repeated impatiently: ‘it",Saint Petersburg
2017-04-29,bribery,"in a great hurry; ‘and their names were Elsie, Lacie, and Tillie; and",Harlingen
2017-04-30,bribery,"This was not an encouraging opening for a conversation. Alice replied,",Corpus Christi
2017-05-05,bribery,"him,) ‘I’ll give him sixpence. _I_ don’t believe there’s an atom of",Memphis
2017-05-07,bribery,"‘Yes, that’s it,’ said the Hatter with a sigh: ‘it’s always tea-time,",New Haven
2017-05-15,bribery,"a Hatter: and in THAT direction,’ waving the other paw, ‘lives a March",Savannah
2017-05-17,bribery,and said ‘That’s very curious.’,Charleston
2017-05-22,bribery,conversations?’,Roseville
